Grant Name,Administering Body,Grant Purpose,Application Deadline,Deadline Type,Deadline Date,Deadline Status,Days Until Deadline,Deadline Notes,Expired,Funding Amount,Funding Min Amount,Funding Max Amount,Funding Currency,Funding Amount (AUD),Parsing Confidence,Parsing Notes,Co-contribution Requirements,Eligibility Criteria,Assessment Criteria,Application Complexity,Web Link,Level of Complexity
Growing the Peer Workforce,Department of Health Disability and Ageing,Support mental health and suicide prevention peer workforce by funding 500 training placements for Certificate IV in Mental Health Peer Work students,Not specified,ONGOING,,ONGOING,,No specific close date in excerpt,No,Total $2.75M available,,,AUD,"2,750,000",MEDIUM,Total programme amount only,Not specified,"Various entity types including Indigenous Corporation, Company, Incorporated Association, Partnership; must be mental health/suicide prevention services","Capacity to provide placements, supervision capability, diversity of workforce",Moderate - requires organisational readiness and supervision plans,https://www.grants.gov.au/Go/Show?GoUuid=04a34c76-f2a6-4371-b4b3-b787aa329f08,Moderate
MRFF 2022 Frontier Health and Medical Research Grant Opportunity,Department of Health Disability and Ageing,Support 'moonshot' research programmes to create treatments for currently serious and incurable health conditions through 10-year programmes with 5-year projects; develop novel or re-purpose existing health technologies,EOI expected to close 31 March 2026,FIXED,31/03/2026,UPCOMING,111,Two-stage process: EOI then invitation to full application; rolling full applications possible,No,$25M per grant (total $400M programme),"25,000,000","25,000,000",AUD,"25,000,000",HIGH,Specific amount per grant clearly stated,Not specified,"Must have ABN, incorporated in Australia, be medical research institute/university/corporate Commonwealth entity/corporation; maximum 15 Chief Investigators","Transformative potential, research quality, implementation pathway, team capability",Very High - two-stage process with 10-year vision and detailed implementation plans,https://www.grants.gov.au/Go/Show?GoUuid=92889f68-8034-4c88-a002-bf1808e35bfc,Very High
Market Adjustment Program,Department of Health Disability and Ageing,Support residential aged care and Support at Home providers facing financial viability concerns across 3 streams: business improvement; sale/closure; critical failure,Invitation only - no public deadline,CLOSED,,,,"Closed non-competitive, invitation-only programme",No,Total $31M available; amounts determined case-by-case,,,AUD,"31,000,000",MEDIUM,Total programme amount; individual amounts determined by department,Not specified,Registered residential aged care and/or Support at Home providers; must receive invitation from department; identified as at-risk by Commission/department,"Financial viability, strategic importance, value for money",Moderate - invitation-only with case-by-case assessment,https://www.grants.gov.au/Go/Show?GoUuid=690e63be-e375-43f2-add5-561e8596e4e4,Moderate
Building the GP Workforce - Primary Care Commonwealth Supported Places (CSPs),Department of Health Disability and Ageing,Allocate new medical CSPs and training activities to foster primary care culture and bolster GP workforce in rural and underserved areas; Stream A closed 23 Sep 2025; Stream B opens Mar-Jun 2026,Stream A: 23 Sep 2025; Stream B: Mar-Jun 2026,MULTIPLE,30/06/2026,UPCOMING,202,Stream A closed; Stream B expected March-June 2026,No,$30.75M total available,,,AUD,"30,751,000",MEDIUM,Total programme amount only,Not specified,Stream A: existing medical schools with AMC accreditation (Table A HEPs); Stream B: Table A HEPs (new schools need AMC accreditation before 2028 commencement),"Primary care focus, rural/underserved area commitment, accreditation status",High - requires detailed curriculum and workforce plans,https://www.grants.gov.au/Go/Show?GoUuid=f63eb477-4a86-46b3-8978-31c55116f27b,High
Aged Care Services - Specialist Dementia Care Program,Department of Health Disability and Ageing,Establish SDCP units to provide specialised transitional residential support for people with very severe behavioural and psychological symptoms of dementia,Addendum 16: 23 Oct 2025; Addendum 17: 30 Oct 2025,MULTIPLE,30/10/2025,EXPIRED,-41,Multiple addenda with different closing dates; latest expired 30 October 2025,Yes,"Total $5.5M available, $0 - $5.5M per grant",0,"5,500,000",AUD,"0 - 5,500,000",MEDIUM,Range based on total available and maximum,Not specified,Invited organisations (email or newsletter); Approved Aged Care Provider; located in designated PHN region,"Capacity to establish SDCP units, quality of care, regional coverage",High - requires detailed service delivery plans and PHN alignment,https://www.grants.gov.au/Go/Show?GoUuid=4dc80aa1-c2e1-470e-9245-2375277644dd,High
General Practice Incentive Fund,Department of Health Disability and Ageing,Enable PHNs to design and implement healthcare services in communities where primary care systems fail/at risk/unstable; 2 phases: planning/co-design and implementation,Invitation only - no public deadline,CLOSED,,,,"Closed non-competitive, invitation-only for PHNs",Yes,Total $15.4M available,,,AUD,"15,400,000",MEDIUM,Total programme amount; implementation funding determined by SSRP assessment,Not specified,Primary Health Networks (PHNs) only; must receive Letter of Invitation from department,"Service system recovery plan quality, stakeholder consultation, implementation feasibility",Moderate to High - requires comprehensive service system recovery planning,https://www.grants.gov.au/Go/Show?GoUuid=e766d4bd-7e28-41ad-a5c5-b67091200253,Moderate to High
Lottery Health Research Fund,"Department of Internal Affairs, New Zealand","Support NZ health research projects, shared equipment purchases, post-doc fellowships and PhD scholarships to improve NZ health outcomes",27-Aug-25,SPECIFIC,27/08/2025,PAST,,Standard deadline,Yes,"Variable (no strict max, but typically small-medium grants)",,,UNKNOWN,,VARIABLE,Variable or unspecified amount,Not required (full cost up to budget submitted),"Eligible NZ organisations (not individuals; universities, NGOs) with noted eligibility restrictions",Lottery Grants Board criteria (alignment to NZ health priorities),Moderate - short proposal and budget,https://www.communitymatters.govt.nz/,Moderate
Western Australia -- Innovations in Personalised Medicine Program,FHRI Fund & The Hospital Research Foundation,"Fund projects advancing precision medicine in cancer, CVD, neurodegeneration",To open later in 2025 (call not yet released),OTHER,,UNKNOWN,,Standard deadline,No,"FHRI $1.5M matched by THRF, likely multiple grants up to $100k-300k each","100,000","1,500,000",AUD,"1,500,000",MEDIUM,"Up to amount; Range: 100,000 - 1,500,000",FHRI/THRF co-funding structure,WA researchers/institutions,Selection by committee; co-design emphasis,Moderate-High - proposal required,https://fhrifund.health.wa.gov.au/,Complex
GHD Foundation STEAM Education Innovation Grants 2025,GHD Foundation/Australian Communities Foundation,"Accelerate novel STEAM education initiatives for youth (ages 8-26) including tertiary scholarships for underrepresented groups, teacher capacity-building in STEAM (especially rural/remote), and in-school STEAM programs",Full applications due 6 June 2025 (11:59pm AEST) for shortlisted applicants,SPECIFIC,6/06/2025,PAST,,Specific time deadline,Yes,"Five grants of up to AUD $75,000 each, typically 1-year projects","75,000","75,000",AUD,"75,000",HIGH,Up to amount,"Grant covers full budget, no matching required (additional funds encouraged but not mandatory)","DGR-1 endorsed charities (or auspiced by one) in Australia, operating in STEAM education or youth development. Schools and unendorsed groups may apply via auspice","Two-stage review evaluating innovation, scalability, impact on STEAM access for diverse youth. Final selection by foundation trustees",High - multi-stage (EOI + full application) with template forms and budget workbook,https://www.ghdfoundation.org.au/,Complex
Gilead Australia Community Grants Program,Gilead Sciences,"Fund innovative patient- and community-led projects improving health access, removing barriers, advancing education/support in HIV, liver disease, metastatic breast cancer, blood cancer",Round 2 expected September 2025,TBA,,TBA,,Round 2,Yes,"Up to $50,000 per grant from total of $150,000","50,000","150,000",AUD,"150,000",MEDIUM,"Up to amount; Range: 50,000 - 150,000",Not required (grants cover project costs),Australian not-for-profit (patient/community organisations),Program staff review/panel per cycle guidelines,Moderate - online application,https://www.gilead.com/en-au/,Moderate
Global Innovation Fund (GIF),Global Innovation Fund,Support innovations designed to benefit individuals living on less than $5 per day in developing countries,Continuous applications,ROLLING,,ONGOING,,Applications accepted continuously,No,"Pilot Tier: up to USD $230,000; Test and Transition Tier: varies",,,UNKNOWN,,VARIABLE,Variable or unspecified amount,Varies by program,Any type of organization from any country if innovation targets people living on less than $5 per day in developing countries,"Innovation potential, impact on target beneficiaries, scalability, and evidence base",Moderate - requires clear development context and impact pathway,https://www.globalinnovation.fund/,Moderate
Google Australia - AI for Social Good Grants,Google Australia,"Leverage artificial intelligence (AI) technology for societal benefit, with a focus on areas like education, health, and environmental sustainability","Specific calls, typically annual",ANNUAL,,ONGOING,,Annual application cycle,No,"AUD $100,000 - $500,000 for 1-2 years","100,000","500,000",AUD,"500,000",MEDIUM,"Range: 100,000 - 500,000","Not explicitly stated, but leveraging existing resources is beneficial","Australian non-profit organizations, research institutions, and social enterprises with AI-driven projects","Technical feasibility of AI solution, potential for social impact, scalability, and team capability",Moderate - requires clear technical proposal and social impact plan,https://blog.google/around-the-globe/google-asia-pacific/australia/ai-for-social-good-grants/,Moderate
WA Local Capability Fund - Digital Transformation Round,Government of Western Australia,Support businesses to adopt digital and data technology,Ongoing applications,ROLLING,,ONGOING,,Applications accepted continuously,No,"Stream 1: up to $25,000 (50% co-funding); Stream 2: up to $50,000 (50% co-funding)","25,000","50,000",AUD,"50,000",MEDIUM,"Up to amount; Range: 25,000 - 50,000; Tiered/multi-stream funding",50% of eligible costs,"WA SMEs with 3+ years operation, $500k+ turnover, <200 employees",Digital transformation potential and business case,Moderate - requires business case and quotes,https://www.wa.gov.au/,Moderate
Grand Challenges Canada (GCC),Grand Challenges Canada,Find and support innovative solutions for global health and development problems,"Rolling basis for various programs (e.g., Play Learn Thrive TTS: August 21 & November 27, 2025)",ROLLING,,ONGOING,,Applications accepted continuously,Yes,"Proof-of-Concept: up to CAD $250,000; Transition-to-Scale: CAD $300,000-$1,500,000","150,000","300,000",CAD,"327,000",MEDIUM,"Up to amount; Range: 150,000 - 300,000",Preferred for POC; encouraged (1:1 cash match) for TTS,"Lead applicant must be in-country for specific programs (Kenya, Uganda, Lebanon, Jordan for Play Learn Thrive); Australian organizations can partner","Innovation, global health impact, feasibility, and local partnership",Complex - requires strong in-country partnerships and development focus,https://www.grandchallenges.ca/,Complex
GSK Australia Award for Research Excellence,GSK Australia,Recognize and support outstanding Australian medical research,Annual - specific dates vary,ANNUAL,,ONGOING,,Annual application cycle,No,"$100,000 AUD","100,000","100,000",AUD,"100,000",HIGH,Standard amount,None specified,Australian medical researchers with exceptional contributions,"Research excellence, impact, innovation",Moderate - prestigious award with competitive selection,https://au.gsk.com/en-au/innovation/gsk-australia-award-for-research-excellence/,Moderate
HCF Research Foundation Grants,HCF Research Foundation,Health services research and translational research,EOIs closed for current round,CLOSED,,CLOSED,,EOI required,Yes,Variable amounts,,,UNKNOWN,,VARIABLE,Variable or unspecified amount,Not specified,"Australian researchers focused on healthcare quality, efficiency, and equity",Healthcare improvement potential and research excellence,Moderate - EOI then full application process,https://www.hcf.com.au/,Moderate
Health and Wellbeing Queensland Community Grants 2025,Health and Wellbeing Queensland,Support community-led health and wellbeing projects,"29 July 2025, 2:00pm AEST",SPECIFIC,29/07/2025,PAST,,Specific time deadline,Yes,"$5,000-$20,000 per grant (total pool $400,000)","5,000","400,000",AUD,"400,000",MEDIUM,"Range: 5,000 - 400,000",Not specified,"Queensland not-for-profit organizations, schools, local government","Health impact, community engagement, sustainability",Simple to Moderate - community-focused applications,https://hw.qld.gov.au/grants/2025-health-and-wellbeing-community-grants/,Moderate
Te Pitomata Grants,Health New Zealand | Te Whatu Ora,Support Māori into health careers across multiple health disciplines,New applications closed (resubmissions due 2 April 2025),CLOSED,2/04/2025,CLOSED,,Standard deadline,Yes,"Variable amounts by category (Clinical Undergraduate, Postgraduate, Medical, Nursing, Allied Health, Rongoā Māori)",,,UNKNOWN,,VARIABLE,Variable or unspecified amount,Study commitment required,Students of Māori descent in accredited health programs,Heritage verification and study plan assessment,Moderate - requires heritage verification and study plan,https://www.tewhatuora.govt.nz/,Moderate
HRC 2025 Emerging Researcher First Grants,Health Research Council of New Zealand (HRC),Support emerging researchers establishing independent careers,Various categories with different deadlines,MULTIPLE,,ONGOING,,Multiple deadlines throughout year,No,"Up to $400,000 NZD over 3 years","400,000","400,000",NZD,"364,000",HIGH,Up to amount; Multi-year total,Host organization support,"Early career researchers, no more than 6 years from PhD","Research potential, career development, impact potential",Moderate - requires career development plan,https://gateway.hrc.govt.nz/funding/ideas-funding/2025-emerging-researcher-first-grants,Moderate
HRC 2025 Artificial Intelligence in Healthcare,Health Research Council of New Zealand (HRC),AI applications in healthcare research,26 February - 23 April 2025 (Closed; Next Round: Expected 2026),CLOSED,23/04/2025,CLOSED,,Standard deadline,Yes,"Small: Up to $100,000 (6-12 months); Medium: Up to $400,000 (12-18 months); Large: Up to $700,000 (18-24 months)","100,000","700,000",AUD,"700,000",MEDIUM,"Up to amount; Range: 100,000 - 700,000",Host organization support,NZ-based researchers working on AI in healthcare,AI innovation and healthcare application potential,Complex - requires AI and healthcare expertise,https://gateway.hrc.govt.nz/,Complex
HRC 2025 Programme Grants,Health Research Council of New Zealand (HRC),Support high-performing teams for strategic health research,Various dates in 2025 (check HRC Gateway for specifics),MULTIPLE,,ONGOING,,Multiple deadlines throughout year,Yes,Up to $5 million over 5 years,"5,000,000","5,000,000",AUD,"5,000,000",HIGH,Up to amount; Multi-year total,Host organization support required,"NZ domiciled researchers, 20% FTE commitment required","Strategic importance, research excellence, collaboration potential",Complex - requires program logic and impact framework,https://gateway.hrc.govt.nz/funding/ideas-funding/2025-programmes,Complex
HRC 2025 Projects,Health Research Council of New Zealand (HRC),Research with potential to improve health outcomes for New Zealanders,No current funding round open,OTHER,,UNKNOWN,,Standard deadline,Yes,"Up to $1,200,000 ($1,440,000 for RCTs) for 3 years (negotiable to 5 years)","120,000","144,000",AUD,"144,000",MEDIUM,"Up to amount; Range: 120,000 - 144,000; Multi-year total",Host organization support,First named investigator must be NZ citizen/permanent resident,Health impact potential and research excellence,Complex - comprehensive research program,https://gateway.hrc.govt.nz/,Complex
HRC Explorer Grants,Health Research Council of New Zealand (HRC),"Transformative, innovative research ideas",Various deadlines throughout 2025,MULTIPLE,,ONGOING,,Multiple deadlines throughout year,Yes,"$150,000 for up to 24 months","150,000","150,000",AUD,"150,000",HIGH,Up to amount,Host organization support,NZ-based health researchers,Innovation and transformative potential,Moderate,https://gateway.hrc.govt.nz/,Moderate
Health Research Council of New Zealand 2025 Health Delivery Research Project Grants,Health Research Council of New Zealand (HRC),Funds health delivery research directly impacting healthcare outcomes and informing policy/practice in New Zealand,23 July 2025 (1:00pm NZST),SPECIFIC,23/07/2025,PAST,,Specific time deadline,Yes,"Up to NZD $1,400,000 (approx. AUD $1,270,000)","127,000","140,000",NZD,"127,400",MEDIUM,"Up to amount; Range: 127,000 - 140,000; Multiple currencies mentioned",Not specified,Principal domicile and employment in New Zealand; Australian collaborators permitted,"Healthcare outcomes impact, policy relevance, New Zealand health system focus",Complex (two-stage process),https://gateway.hrc.govt.nz/funding/ideas-funding/2025-health-delivery-projects,Complex
Health Research Council of New Zealand 2026 Project/Programme Grant Funding Rounds,Health Research Council of New Zealand (HRC),"Supports biomedical, public health, and clinical research through project and programme grants",Opening dates to be confirmed August 2025,OTHER,,UNKNOWN,,Standard deadline,Yes,"Project Grants: Up to NZD $1,200,000; Programme Grants: Larger scale funding","120,000","120,000",NZD,"109,200",HIGH,Up to amount,Not specified,New Zealand citizenship/residency required; international collaborations possible,"Scientific merit, feasibility, health impact potential",Complex (two-stage process),https://gateway.hrc.govt.nz/funding/funding-calendar,Complex
Active Australia Innovation Challenge,"Heart Foundation, Australia",Community-led projects promoting physical activity to improve heart health,5 March 2025 (closed),CLOSED,5/03/2025,CLOSED,,Standard deadline,Yes,"Grants up to $30,000 each, ~15 grants awarded","30,000","30,000",AUD,"30,000",HIGH,Up to amount,No co-contribution required (grant covers full project cost up to $30k),"Community groups, councils, schools, universities, NGOs (or individuals partnered with eligible orgs)",Panel selection (shortlisting + finalist pitches),Low-Moderate - idea pitch format,https://www.heartfoundation.org.au/,Moderate
Dust Diseases Board -- Discovery & Innovation Grants,ICare NSW,"Support cutting-edge early-stage research on dust diseases (silicosis, asbestosis) with emphasis on innovative/translational projects (basic science, novel treatments, epidemiology)",Full applications due 13 August 2025 (4:00pm AEST),SPECIFIC,13/08/2025,PAST,,Specific time deadline,Yes,"Individual project funding typically AUD $100k-$300k over up to 3 years from total annual budget of AUD $500,000","100,000","500,000",AUD,"500,000",MEDIUM,"Up to amount; Range: 100,000 - 500,000",Applicants must meet matching requirements (often 50% project costs) through cash and in-kind funding,"NSW or Australian research institutions with priority given to projects aligned with Board's strategic priorities (bench-to-bedside, high-risk/high-reward science)","Two-stage review focusing on innovation, feasibility and potential to improve dust-disease outcomes","High - detailed project plan required, strong emphasis on innovation and alignment to NSW worker health impacts",https://www.icare.nsw.gov.au/,Complex
Inspiring Tasmania Grants 2025,Inspiring Tasmania,STEM engagement and National Science Week activities,Open with rolling deadlines,ROLLING,,ONGOING,,Applications accepted continuously,No,"Small ($4,000), Large ($4,000-$8,000)","4,000","8,000",AUD,"8,000",MEDIUM,"Range: 4,000 - 8,000",Not specified,Tasmanian organizations and individuals,STEM engagement and community impact,Simple to Moderate,https://inspiringtas.org.au/,Moderate
Boosting Business Innovation Program - TechVouchers,Investment NSW,SME-researcher collaboration projects,Ongoing applications,ROLLING,,ONGOING,,Applications accepted continuously,No,"Up to $50,000 for 12 months","50,000","50,000",AUD,"50,000",HIGH,Up to amount,50% cash match required from business,NSW-based SMEs with <200 employees,Research collaboration potential and innovation,Moderate - requires research partner arrangement,https://www.investment.nsw.gov.au/grants-and-rebates/boosting-business-innovation-program/,Moderate
NSW Clean Technology R&D Grants Round 2,Investment NSW,Clean technology innovation for emissions reduction,To be announced,TBA,,TBA,,Standard deadline,No,"$30,000 - $400,000 from $14 million pool","30,000","14,000,000",AUD,"14,000,000",MEDIUM,"Range: 30,000 - 14,000,000",Typically required,"NSW businesses in high-emitting, hard-to-abate sectors",Technical and commercial viability assessment,Complex - technical and commercial viability assessment,https://www.investment.nsw.gov.au/,Complex
JMI Policy Challenge Grants 2025,"Jumbunna Institute, UTS (NSW Government partnership)","Fund applied research projects with direct policy relevance to NSW's strategic priorities: accelerating energy transition, driving manufacturing and productivity, advancing early-intervention models in health/education",2 May 2025 (11:59pm AEST),SPECIFIC,2/05/2025,PAST,,Specific time deadline,Yes,"Grants from AUD $25,000 to $100,000 per project from total pool of AUD $600,000","25,000","600,000",AUD,"600,000",MEDIUM,"Range: 25,000 - 600,000","No matching funds required, projects should be ready to implement with stakeholder engagement","Lead applicants must be researchers at partner universities (University of Sydney, Western Sydney, UTS, UNSW, or Wollongong). Teams often include government or community partners","Competitive review emphasizing interdisciplinary approach, stakeholder engagement, and how research will inform NSW policy","Moderate - standard grant application (2-3 pages outline plus budget), collaboration with policy-makers expected",https://www.uts.edu.au/research-and-teaching/our-research/jumbunna-institute,Moderate
MBIE Endeavour Fund - Smart Ideas 2025,"Ministry of Business, Innovation and Employment (MBIE), New Zealand",Early-stage research with national impact potential,Results announced 23 June 2025 (46 projects funded); Next Round: Expected late 2025/early 2026,TBA,23/06/2025,TBA,-169,Standard deadline,Yes,Average ~$1 million ($46 million total investment),"1,000,000","46,000,000",AUD,"46,000,000",MEDIUM,"Range: 1,000,000 - 46,000,000",Institutional support required,NZ research organizations,National impact potential and research excellence,Complex - requires national impact demonstration,https://www.mbie.govt.nz/,Complex
New Zealand-China Strategic Research Alliance,"Ministry of Business, Innovation and Employment (MBIE), New Zealand",Bilateral research collaboration in environmental technologies,2 July 2025 (12 noon),SPECIFIC,2/07/2025,PAST,,Standard deadline,Yes,"Up to $1.2 million total; NZ Partner Funding: Up to $300,000 over 3 years","300,000","1,200,000",AUD,"1,200,000",MEDIUM,"Up to amount; Range: 300,000 - 1,200,000; Multi-year total",Chinese partner collaboration required,NZ research organizations with Chinese partners,Bilateral collaboration strength and environmental technology focus,Complex - bilateral collaboration required,https://www.mbie.govt.nz/,Complex
Ara Whaihua -- Impact Pathways for Research (He Ara Whakahihiko Capability Fund),"Ministry of Business, Innovation and Employment (MBIE), New Zealand","Fund short-term Māori-led R&D projects to commercialise and implement research, fostering Māori innovation and translating research into products/services with Māori economic and social benefit",8 October 2025 (12:00pm NZT),SPECIFIC,8/10/2025,PAST,,Specific time deadline,Yes,"Up to NZD $100,000 (inclusive of GST) over 12 months from a total pool of NZD $2.1 million","100,000","2,100,000",NZD,"1,911,000",MEDIUM,"Up to amount; Range: 100,000 - 2,100,000",Applicants must provide matching contributions (typically 40-60% of project costs) - Callaghan funds up to 60%,"Māori-led organisations, businesses, iwi/hapu entities or research-active institutions supporting Māori outcomes. Collaborations between Māori stakeholders and tech/industry encouraged","Alignment with Māori priorities, innovation potential and feasibility. Panel evaluates strategic fit and expected impact","Moderate - detailed application outlining commercialization pathway, one-stage process with specific Māori-focus criteria",https://www.mbie.govt.nz/science-and-technology/science-and-innovation/funding-information-and-opportunities/investment-funds/he-ara-whakahihiko-capability-fund/,Moderate
Rangapū Rangahau -- Research Partnerships (He Ara Whakahihiko Capability Fund),"Ministry of Business, Innovation and Employment (MBIE), New Zealand","Support two-year collaborative research partnerships to advance Māori science, particularly in health, environment and innovation. Builds long-term Māori research capability",1 October 2025 (12:00pm NZT),SPECIFIC,1/10/2025,PAST,,Specific time deadline,Yes,"From a total pool of NZD $6.5 million, projects funded for up to 2 years (no fixed cap per project)","6,500,000","6,500,000",NZD,"5,915,000",HIGH,Up to amount,"Matched funding required (applicants match grant sought in cash and/or in-kind, typically 40-60% of project cost)","Māori-focused research teams (Māori entrepreneurs, iwi organisations, research institutes, businesses) in partnership with technical researchers. Must demonstrate Māori leadership and partnership","Peer-reviewed on scientific excellence, Māori value, collaboration strength and impact on community/industry. High priority on Māori decision-making and capacity building","High - two-year, multi-partner research proposals require detailed planning and substantial documentation",https://www.mbie.govt.nz/science-and-technology/science-and-innovation/funding-information-and-opportunities/investment-funds/he-ara-whakahihiko-capability-fund/,Complex
MND Australia Research Grants,MND Australia,MND research for treatments and cure development,15 September 2025 (6pm AEST),SPECIFIC,15/09/2025,PAST,,Standard deadline,Yes,"Postdoctoral Fellowships: $125,000 p.a. + $50,000 research expenses; Innovator Grants: Various amounts","50,000","125,000",AUD,"125,000",MEDIUM,"Range: 50,000 - 125,000; Per annum amount",Host institution support,Australian researchers focused on MND,Research excellence and MND relevance,Moderate to Complex (3 years for fellowships),https://www.mndaustralia.org.au/,Complex
MRFF 2025 Australia-UK Platform Studies,"MRFF and NHMRC (Australia), in collaboration with NIHR (UK)",Funds international collaborative platform trials (Phase 2/3) in areas of unmet clinical need,Stage 1 outline: 23 July 2025; Full applications: Q2 2026,SPECIFIC,23/07/2025,PAST,,Standard deadline,Yes,"Up to $5,000,000 AUD for Australian component (Total: up to $15,000,000)","150,000","500,000",AUD,"500,000",MEDIUM,"Up to amount; Range: 150,000 - 500,000",Not specified,Joint Australian-UK research teams with established partnerships,"Trial design, unmet clinical need, collaboration quality",Complex,https://www.health.gov.au/news/funding-opportunity-for-internationally-collaborative-clinical-trials-between-australia-and-the-united-kingdom-mrff,Complex
MTPConnect Health Technology Grants,MTPConnect (Medical Technologies and Pharmaceuticals),Support MedTech and pharmaceutical innovation and commercialization,Various programs throughout the year,MULTIPLE,,ONGOING,,Multiple deadlines throughout year,No,"$25,000-$200,000 depending on program","25,000","200,000",AUD,"200,000",MEDIUM,"Range: 25,000 - 200,000",Industry co-funding typically required,Australian companies and research organizations,"Commercial potential, innovation, industry alignment",Moderate to Complex - requires commercialization focus,https://www.mtpconnect.org.au/,Complex
Clinical Translation and Commercialisation MedTech (CTCM) Program,MTPConnect in partnership with Medical Technology Association of Australia (MTAA),Supports Australian SMEs developing medical devices with validated preclinical data through early clinical trials,Previous rounds completed (FY2022-2023); future rounds under review,CLOSED,,CLOSED,,Standard deadline,Yes,"$250,000 to $1,500,000 AUD per project","150,000","250,000",AUD,"250,000",MEDIUM,"Range: 150,000 - 250,000",Substantial industry co-investment required,Australian SMEs developing medical devices for human use; validated capability through research/preclinical studies,"Preclinical validation, commercialisation potential, clinical trial readiness",Complex,https://www.mtaa.org.au/clinical-translation-and-commercialisation-medtech-program,Complex
2025 NHMRC-Horizon Europe,National Health and Medical Research Council (NHMRC),Support Australian participation in Horizon Europe international collaborative research; invitation to apply after EC deems applications fundable,Single stage: 29 Apr 2026; Two-stage: 25 Nov 2026,MULTIPLE,25/11/2026,UPCOMING,350,Different submission dates for single vs two-stage models; invitation-based after EC evaluation,No,"Total $4M available, $0 - $1M per grant",0,"1,000,000",AUD,"0 - 1,000,000",HIGH,Clear range specified; grants up to 5 years,Not specified,Australia-based researchers listed on EC-approved Horizon Europe applications; NHMRC Administering Institutions,"EC evaluation results, Australian component quality, international collaboration strength",High - requires EC approval first then NHMRC application,https://www.grants.gov.au/Go/Show?GoUuid=6ecf975b-2a9e-4335-9881-90d07d1edae8,High
Targeted Call for Research: Homelessness and Health 2025,National Health and Medical Research Council (NHMRC),Investigate short and long-term adverse health outcomes for individuals in unstable housing and develop interventions to improve health outcomes for people experiencing homelessness,Minimum data due 3 December 2025,FIXED,3/12/2025,EXPIRED,-7,Minimum data was due 3 December 2025; outcomes announced August 2026,Yes,Total $5M available over up to 5 years,,,AUD,"5,000,000",MEDIUM,Total amount only; individual grant amounts not specified,Not specified,NHMRC approved Administering Institutions only,"Research merit, alignment with TCR objectives, capacity to deliver",High - requires detailed research methodology and Sapphire application,https://www.grants.gov.au/Go/Show?GoUuid=6866e330-2b45-440a-9e32-855634a72761,High
MRFF – Australian Brain Cancer Mission – 2025 Brain Cancer Research Grant Opportunity,National Health and Medical Research Council (NHMRC) / Department of Health Disability and Ageing,Support research to develop novel approaches to reduce treatment toxicity and adverse effects of brain cancer treatment to improve quality of life for patients and carers,Minimum data due 21 January 2026 5:00pm,FIXED,21/01/2026,UPCOMING,42,Minimum data closes 21 January 2026; questions due 28 January 2026,No,"Total $4.75M available, $0 - $2M per grant",0,"2,000,000",AUD,"0 - 2,000,000",HIGH,Clear range specified; grants within 5 years,Not specified,MRFF Eligible Organisations only,"Research quality, alignment with Brain Cancer Mission objectives, translation potential",High - requires detailed research proposal via Sapphire,https://www.grants.gov.au/Go/Show?GoUuid=070a9c4b-d4d6-4430-9f39-be43f5a67816,High
MRFF – Genomics Health Futures Mission – 2025 Genomics Health Futures Grant Opportunity,National Health and Medical Research Council (NHMRC) / Department of Health Disability and Ageing,Stream 1: Pharmacogenomic approaches to enhance medication efficacy; Stream 2: Genomics research for Aboriginal and Torres Strait Islander peoples health outcomes,Minimum data due 21 January 2026 5:00pm,FIXED,21/01/2026,UPCOMING,42,Minimum data closes 21 January 2026; questions due 28 January 2026,No,"Total $48.8M available, $1M - $10M per grant","1,000,000","10,000,000",AUD,"1,000,000 - 10,000,000",HIGH,Clear range specified; grants within 7 years,Not specified,MRFF Eligible Organisations only,"Research quality, alignment with Mission objectives, precision medicine impact",High - requires detailed genomics research proposal,https://www.grants.gov.au/Go/Show?GoUuid=a2a4b039-505f-4261-a654-2193c45f3c3d,High
MRFF - EPCDRI - 2025 Childhood Mental Health Research Grant Opportunity,National Health and Medical Research Council (NHMRC) / Department of Health Disability and Ageing,Childhood mental health research across three topics: A) First Nations children (First Nations-led); B) Any MM location; C) Regional/rural/remote (MM2-7) focused research,Minimum data due 25 February 2026 5:00pm,FIXED,25/02/2026,UPCOMING,77,Minimum data closes 25 February 2026; questions due 18 March 2026,No,"Total $20M available, $0 - $5M per grant",0,"5,000,000",AUD,"0 - 5,000,000",HIGH,Clear range specified; grants within 5 years,Not specified,MRFF Eligible Organisations only; Topic-specific geographic and leadership requirements,"Research quality, alignment with childhood mental health objectives, community engagement",High - requires detailed research methodology and topic alignment,https://www.grants.gov.au/Go/Show?GoUuid=29f11e94-7ec6-435b-8f75-f8456265e6f7,High
