Grant Name,Administering Body,Grant Purpose,Application Deadline,Funding Amount,Co-contribution Requirements,Eligibility Criteria,Assessment Criteria,Application Complexity,Web Link,Level of Complexity
MND Australia Research Grants,MND Australia,MND research for treatments and cure development,15 September 2025 (6pm AEST),"Postdoctoral Fellowships: $125,000 p.a. + $50,000 research expenses; Innovator Grants: Various amounts",Host institution support,Australian researchers focused on MND,Research excellence and MND relevance,Moderate to Complex (3 years for fellowships),https://www.mndaustralia.org.au/,Complex
MRFF 2025 Australia-UK Platform Studies,"MRFF and NHMRC (Australia), in collaboration with NIHR (UK)",Funds international collaborative platform trials (Phase 2/3) in areas of unmet clinical need,Stage 1 outline: 23 July 2025; Full applications: Q2 2026,"Up to $5,000,000 AUD for Australian component (Total: up to $15,000,000)",Not specified,Joint Australian-UK research teams with established partnerships,"Trial design, unmet clinical need, collaboration quality",Complex,https://www.health.gov.au/news/funding-opportunity-for-internationally-collaborative-clinical-trials-between-australia-and-the-united-kingdom-mrff,Complex
MTPConnect Health Technology Grants,MTPConnect (Medical Technologies and Pharmaceuticals),Support MedTech and pharmaceutical innovation and commercialization,Various programs throughout the year,"$25,000-$200,000 depending on program",Industry co-funding typically required,Australian companies and research organizations,"Commercial potential, innovation, industry alignment",Moderate to Complex - requires commercialization focus,https://www.mtpconnect.org.au/,Complex
Clinical Translation and Commercialisation MedTech (CTCM) Program,MTPConnect in partnership with Medical Technology Association of Australia (MTAA),Supports Australian SMEs developing medical devices with validated preclinical data through early clinical trials,Previous rounds completed (FY2022-2023); future rounds under review,"$250,000 to $1,500,000 AUD per project",Substantial industry co-investment required,Australian SMEs developing medical devices for human use; validated capability through research/preclinical studies,"Preclinical validation, commercialisation potential, clinical trial readiness",Complex,https://www.mtaa.org.au/clinical-translation-and-commercialisation-medtech-program,Complex
NHMRC Centres of Research Excellence (CRE) 2025,"National Health and Medical Research Council (NHMRC), Australia",Collaborative research teams in health priority areas,Various streams throughout 2025,"$3,000,000 per centre for 5 years",Host institution support required,Multi-institutional collaboration required,Research excellence and collaborative potential,Complex - multi-institutional collaboration required,https://www.nhmrc.gov.au/,Complex
NHMRC Ideas Grants,"National Health and Medical Research Council (NHMRC), Australia",Innovative research addressing specific research questions,Various dates throughout 2025,Up to $1.5 million for 1-5 years,Host institution support,Australian health and medical researchers,Innovation and research excellence through peer review,Complex - peer review process,https://www.nhmrc.gov.au/,Complex
NHMRC Partnership Projects,"National Health and Medical Research Council (NHMRC), Australia",Collaborative research between researchers and policy makers,"26 November 2025, 5:00pm","Up to $500,000 per year for up to 5 years",Partner organization contribution required,Must include research and policy/industry partners,"Partnership quality, research impact, translation potential",Complex - requires partnership agreements and joint planning,https://www.nhmrc.gov.au/funding/find-funding,Complex
NHMRC Investigator Grants 2026 (GO7711),"National Health and Medical Research Council (NHMRC), Australia",Provides consolidated funding to support outstanding researchers across all career stages,Minimum data: 2 July 2025; Full application: 30 July 2025,"Typically $200,000-$1,500,000 annually over 5 years (Total pool: $420,000,000)",None required,NHMRC-approved Administering Institutions; eligibility via NHMRC Web Tool,"Track record relative to opportunity, research program quality, leadership potential",Complex,https://www.nhmrc.gov.au/funding/find-funding/investigator-grants,Complex
NHMRC Global Alliance for Chronic Diseases (GACD) 2025,"National Health and Medical Research Council (NHMRC), Australia",Supports implementation research for health systems strengthening and NCD burden reduction in LMICs and underserved populations,Stage 1: GACD Portal (TBC); Stage 2: NHMRC Sapphire (expected October 2025),"Up to $5,000,000 AUD",As per GACD consortium requirements,NHMRC-approved Administering Institutions; part of GACD-compliant international consortium,"Health disparities focus, systems strengthening, international collaboration",Very Complex (two-stage process involving GACD and NHMRC),https://www.nhmrc.gov.au/funding/find-funding/global-alliance-chronic-diseases-strengthening-health-systems-funding-call-2025,Complex
NHMRC TCR: Aboriginal and Torres Strait Islander Health - Addressing Violence (GO7732),"National Health and Medical Research Council (NHMRC), Australia","Funds Indigenous-led, multidisciplinary research to address violence and improve health outcomes for Aboriginal and Torres Strait Islander communities",Minimum data: 6 August 2025; Full application: 20 August 2025,"Total available: $5,000,000 AUD",Not specified,NHMRC-approved Administering Institutions; Indigenous leadership and community partnership required,"Community-led governance, ethical responsiveness, capacity building",Complex,https://www.nhmrc.gov.au/funding/find-funding/targeted-call-research-aboriginal-and-torres-strait-islander-health-addressing-violence-safer-families-and-communities,Complex
NHMRC Clinical Trials and Cohort Studies Grants (2025),"National Health and Medical Research Council (NHMRC), Australia",Supports high-quality clinical trials and longitudinal cohort studies addressing critical knowledge gaps,Minimum data: 8 October 2025; Full application: 5 November 2025,"$500,000-$5,000,000 AUD depending on study design and scope",Not specified,Researchers affiliated with NHMRC-approved Administering Institutions,"Scientific merit, feasibility, trial design quality, potential health impact",Complex,https://www.nhmrc.gov.au/funding/find-funding/clinical-trials-and-cohort-studies-grants,Complex
"MRFF 2025 Dementia, Ageing & Aged Care","National Health and Medical Research Council (NHMRC), Australia","Fund research into dementia, ageing, aged care to improve prevention, care models and outcomes for older Australians",20-Aug-25,"Likely ~$20M pool, project size ~100k-2M+ similar to other MRFF programs",No mandatory co-funding,Australian institutions,Aligned to MRFF goals,Moderate,https://www.nhmrc.gov.au/,Moderate
MRFF 2025 Maternal Health & Healthy Lifestyles,"National Health and Medical Research Council (NHMRC), Australia","Fund preventive/public-health research to improve perinatal mental health, early child development, and promote healthy lifestyles (prevention of chronic disease)",3 December 2025 (minimum data due 19 November),"Total ~$30M pool, individual grants likely several $100k+ over 2-3 years, covers up to 100% of costs",No required co-funding,"Australian-administering institutions (NHMRC Admin Institutions) - universities, medical research institutes, health agencies","Relevance to goals, scientific quality, investigator capability (peer-reviewed panels)",Complex - full NHMRC-style grant application,https://www.nhmrc.gov.au/,Complex
MRFF 2025 Research Data Infrastructure,"National Health and Medical Research Council (NHMRC), Australia","Build/extend national research data infrastructure for novel health research, focusing on using diverse data (genomics, EHR, registries) to address unmet medical needs",11-Dec-25,"Up to $2.5M per grant from total pool ~$20M, projects up to 4 years",No mandatory co-funding (up to 100% funding available),"Australian MRFF-eligible organisations (universities, research institutes, Australian companies, State/Territory agencies) with ABN; international collaboration allowed with Australian PI","Peer-reviewed scientific criteria (innovation, impact, feasibility) per guidelines",Moderate - detailed research proposal and budget required,https://www.nhmrc.gov.au/,Moderate
MRFF 2025 Stem Cell Therapies,"National Health and Medical Research Council (NHMRC), Australia",Fund stem-cell based therapeutic research to treat disease,20-Aug-25,"~$5M+ pool, projects ~100k-2M",No mandatory co-funding,Australian institutions,NHMRC peer review standards,Moderate,https://www.nhmrc.gov.au/,Moderate
MRFF 2025 TTRA -- Cardiovascular Disease & Diabetes Models of Care,"National Health and Medical Research Council (NHMRC), Australia","Fund large, co-designed projects to develop technology-enabled, patient-centred models of care for people with CVD and/or diabetes",5 November 2025 (minimum data due 8 October),"Up to $20M total available, grants likely ~$1-3M+ for 3-year projects, up to 100% costs",No mandatory co-funding,"Australian health/medical research organisations (universities, hospitals, agencies) as Admin Institutions","Focus on innovation, impact on care delivery, consumer co-design",High - detailed large-scale trial/protocol required,https://www.nhmrc.gov.au/,Complex
MRFF 2025 TTRA -- Cardiovascular Disease & Diabetes Risk Prediction and Data Solutions,"National Health and Medical Research Council (NHMRC), Australia",Support small-scale studies to identify predictive biomarkers/markers of CVD/diabetes complications and multidisciplinary projects using novel data integration (AI/ML) to improve prevention/treatment,5 November 2025 (minimum data due 8 October),"Up to $17M total, grants likely up to ~$0.5-2M each for 3-year projects, full funding available",No mandatory co-funding,Australian research organisations,"Scientific merit, innovation, data strategy",High - detailed research proposal required,https://www.nhmrc.gov.au/,Complex
MRFF Early- and Mid-Career Researchers Initiative 2025,"National Health and Medical Research Council (NHMRC), Australia","Fund health and medical research projects led by early-career and mid-career researchers under the Medical Research Future Fund, focusing on critical health challenges and priority populations",23 July 2025 (with 25 June 2025 minimum data deadline),"Multiple grants across streams, typically $250k-$500k+ per year (total grants pool several million per project for Stream 2)",No compulsory co-funding (administered by NHMRC) but in-kind support encouraged,Australian-based researchers employed by NHMRC-approved institutions. Stream 1: early-career (≤10 years post-PhD); Stream 2: mid-career (10-15 years post-PhD),"NHMRC peer review panels evaluate innovation, feasibility, team capability and potential health impact for priority populations. Alignment with MRFF priorities critical","Very high - extensive proposal (6-12 pages) and data management plan, requires strong track record and institutional support",https://www.nhmrc.gov.au/,Very Complex
MRFF Frontier Health & Medical Research,"National Health and Medical Research Council (NHMRC), Australia","Support innovative, high-risk/high-reward medical research",31-Mar-26,"Current round up to ~$190M available, grants typically $1-5M+ for up to 3 years",No co-funding required,Australian organisations,Highly competitive excellence-based review,High,https://www.nhmrc.gov.au/,Complex
NHMRC-Horizon Europe Grant Scheme 2025,"National Health and Medical Research Council (NHMRC), Australia",Supports Australian researchers participating in international collaborative health research under Horizon Europe,EU application: 16 September 2025; NHMRC invitation follows successful EU application,"$100,000-$500,000 AUD over 5 years (Australian component only)",As per EU consortium requirements,Australian researchers on eligible Horizon Europe applications deemed fundable by European Commission; NHMRC-approved Administering Institutions,"Alignment with NHMRC health priorities, international engagement strategy",Very Complex (requires successful EU application first),https://www.nhmrc.gov.au/funding/find-funding/nhmrc-eu-collaborative-research-grant-scheme-2025,Complex
MBIE Endeavour Fund,"New Zealand Ministry of Business, Innovation and Employment (MBIE)","Fund high-quality, high-impact research that addresses national challenges and contributes to New Zealand's economic growth and societal well-being","Annual, typically June/July",NZD $1M - $5M per annum for 3-5 years,"Not explicitly stated, but collaboration with end-users/stakeholders is highly valued","New Zealand research organizations, universities, and Crown Research Institutes","Scientific excellence, impact, strategic alignment with national priorities, and capability",Very Complex - rigorous peer review process requiring national significance,https://www.mbie.govt.nz/science-and-technology/science-and-innovation/funding-for-science-and-innovation/endeavour-fund/,Complex
NZ Ministry of Education - Education Research Fund,New Zealand Ministry of Education,"Support research that directly informs education policy and practice in New Zealand, aiming to improve educational outcomes","Annual, typically October/November","NZD $10,000 - $100,000 for 1 year",Not explicitly stated,"New Zealand researchers, universities, and education providers","Relevance to education policy, research quality, and potential for impact on practice",Moderate - requires clear methodologies and policy relevance,https://www.education.govt.nz/our-work/information-and-data/education-research-fund/,Moderate
NZ Ministry of Social Development - Community Innovation Fund,New Zealand Ministry of Social Development,"Support innovative community-led solutions to social issues, including those related to education and health","Specific calls, various dates","NZD $10,000 - $200,000 for 1-2 years","Not explicitly stated, but community support and in-kind contributions are highly valued","New Zealand community groups, non-profit organizations, and social enterprises","Community need, innovation, feasibility, and potential for social impact",Simple to Moderate - focuses on community engagement and social impact,https://www.msd.govt.nz/about-us/our-work/community-innovation-fund/,Moderate
TEC Centres of Asia-Pacific Excellence (CAPEs),New Zealand Tertiary Education Commission (TEC),"Enhance New Zealand's engagement with the Asia-Pacific region by building capability in education, research, business, and cultural understanding","Specific calls, various dates","Significant, multi-year funding (NZD $1M - $5M per annum for 4 years)","Expected, often in-kind contributions from tertiary institutions","New Zealand tertiary education institutions, often in consortiums","Strategic alignment with national foreign policy, demonstrable collaborative proposals, and clear plan for building long-term capability",Complex - requires strong strategic alignment with national foreign policy goals,https://www.tec.govt.nz/funding/funding-and-performance/investment/capes/,Complex
MRFF 2025 International Clinical Trial Collaborations (GO7555),NHMRC on behalf of the Department of Health and Aged Care,Supports international collaborative investigator-initiated clinical trials,Round 1: 30 July 2025; Round 2: 4 February 2026,"Up to $3,000,000 per project (Total pool: $13,000,000)",Not specified,MRFF Eligible Organisations,"Clinical trials activity initiative criteria, evidence generation, global trial participation",Complex,https://www.health.gov.au/our-work/mrff/grant-opportunities-calendar,Complex
MRFF 2025 Stem Cell Therapies (GO7561),NHMRC on behalf of the Department of Health and Aged Care,Supports early-stage clinical trials and research into stem cell therapeutic applications,Minimum data: 23 July 2025; Full application: 20 August 2025,"Up to $5,000,000 per project (Total pool: $31,500,000)",Not specified,Approved MRFF Eligible Organisations,"Translational research potential, Phase I/IIa trials, ethical frameworks, health economics",Complex,https://www.health.gov.au/our-work/mrff/grant-opportunities-calendar,Complex
"MRFF 2025 Dementia, Ageing and Aged Care (GO7589)",NHMRC on behalf of the Department of Health and Aged Care,"Funds research addressing aged care and dementia challenges, with focus on improving care quality and equity",Minimum data: 23 July 2025; Full application: 20 August 2025,"Up to $5,000,000 per project (Total pool: $24,300,000)",Not specified,Approved MRFF Eligible Organisations,"Implementation research, aged care services improvement, equity focus for Indigenous and CALD populations",Complex,https://www.health.gov.au/our-work/mrff-dementia-ageing-and-aged-care-mission,Complex
MRFF 2025 Cardiovascular Health (GO7554),NHMRC on behalf of the Department of Health and Aged Care,Funds transformative research and interventions to improve cardiovascular health and stroke management,Minimum data: 16 July 2025; Full application: 13 August 2025,"Up to $5,000,000 per project (Total pool: $24,000,000)",Not specified,Approved MRFF Eligible Organisations,"Population health impact, innovation, clinical relevance",Complex,https://www.health.gov.au/our-work/mrff/grant-opportunities-calendar,Complex
MRFF 2025 TTRA Cardiovascular Disease and Diabetes - Models of Care (GO7744),NHMRC on behalf of the Department of Health and Aged Care,"Funds large-scale projects to develop technology-enabled, patient-centred models of care for cardiovascular disease and/or diabetes",Minimum data: 8 October 2025; Full application: 5 November 2025,"Up to $2,500,000 per project (Total pool: $20,000,000)",Not specified,Approved MRFF Eligible Organisations,"Innovation in care models, healthcare delivery enhancement, equitable outcomes",Complex,https://www.health.gov.au/our-work/mrff/grant-opportunities-calendar,Complex
MRFF 2025 TTRA Cardiovascular Disease and Diabetes - Risk Prediction and Data Solutions (GO7743),NHMRC on behalf of the Department of Health and Aged Care,Funds projects that develop AI-powered risk prediction tools and data-driven solutions for cardiovascular disease and diabetes,Minimum data: 8 October 2025; Full application: 5 November 2025,"Up to $2,500,000 per project (Total pool: $17,000,000)",Not specified,Approved MRFF Eligible Organisations,"Translation potential, clinical impact, data innovation, partnership strength",Complex,https://www.health.gov.au/our-work/mrff/grant-opportunities-calendar,Complex
nib foundation Programs,nib foundation,"Chronic disease prevention, health equity for underserved populations",2025 funding fully allocated,Up to $2 million annually,Not specified,"Focus on First Nations peoples, people with disability, regional/remote communities",Health equity impact and chronic disease prevention focus,Moderate - requires clear health equity focus,https://www.nibfoundation.com.au/,Moderate
Northern Queensland PHN Digital Capability Grants,Northern Queensland Primary Health Network,Enhance digital health capability for allied health organisations,21 March - 13 April 2025,"Up to $10,000 (GST exc) per organisation",Not specified,Allied health providers in MMM 5-7 regions delivering multidisciplinary care,Digital health capability enhancement and multidisciplinary care focus,Simple - online application portal,https://www.nqphn.com.au/,
ACI Research Grant Scheme 2024-25,NSW Agency for Clinical Innovation,Support innovative healthcare projects aligned with ACI priorities,Closed for 2024-25,"Up to $30,000 including GST",Host institution support,"NSW health researchers, focus on completed TRGS projects","Innovation potential, implementation feasibility",Simple - focused on specific project types,https://aci.health.nsw.gov.au/support-for-innovation/research/grant-scheme,
NSW Tech Central R&D Hub Grants,"NSW Department of Enterprise, Investment and Trade","Foster R&D collaboration and innovation within the designated NSW Tech Central precinct, focusing on technology and innovation","Specific calls, various dates","AUD $50,000 - $500,000 for 1-2 years","Expected, often matched funding","Businesses, research organizations, and startups located within or collaborating with entities in the NSW Tech Central precinct","Alignment with Tech Central objectives, innovation, collaboration, and economic impact within NSW",Moderate - requires alignment with precinct's strategic goals,https://www.investment.nsw.gov.au/opportunities/tech-central/,Moderate
NSW Medical Devices Fund 2025,"NSW Government - Office for Health and Medical Research (OHMR), NSW Health",Supports development and commercialisation of innovative medical devices and related technologies,Closed for 2025 (Round 13); expected reopening early 2026,"$500,000 to $5,000,000 AUD per project (excluding GST)",Substantial co-investment required; financial viability demonstration needed,Companies headquartered in NSW; annual turnover <$25M; projects at TRL 3+,"Expert panel assessment on commercialisation potential, clinical impact, innovation",Complex,https://www.medicalresearch.nsw.gov.au/medical-devices-fund/,Complex
NSW Elite Researcher Grants 2025,NSW Health Office of Health and Medical Research,Attract elite researchers from overseas to NSW,"2 March 2026, 5:00pm AEST (Intentions due 1 December 2025)","Up to $750,000 per grant (4 grants available)",Minimum 50% matched funding required,"Researchers currently overseas, willing to relocate to NSW","Research excellence, strategic importance, host organization support",Complex - requires international recruitment and relocation planning,https://www.medicalresearch.nsw.gov.au/elite-researcher-grants/,Complex
NSW Health Workforce Development Programs,NSW Health/Health Education and Training Institute (HETI),Multiple streams for health workforce development,Allied Health Workplace Learning Grants: 4 Aug - 29 Aug 2025; Other streams ongoing,"$1,000-$15,000 depending on stream (Nursing & Midwifery Clinical Placement Grants: $1,000; Rural Support Incentives: $1,000)",Varies by stream,NSW health professionals in public health facilities,Professional development potential and health service alignment,Simple to Moderate depending on stream,https://www.heti.nsw.gov.au/,Moderate
NSW End of Life and Palliative Care Research Grant Program,NSW Ministry of Health,Research to improve end of life and palliative care services,"23 March 2025, 5:00pm (CLOSED)","Up to $600,000 over 3 years",Not specified,"NSW health agencies, research institutes, NGOs","Policy relevance, translation potential, collaborative approach",Moderate - specific to palliative care research,https://www.nsw.gov.au/grants-and-funding/end-of-life-and-palliative-care-research-grant-program,Moderate
Open Philanthropy,Open Philanthropy,"Reduce global catastrophic risks, particularly from advanced AI and biosecurity threats, and promote effective altruism",Rolling basis for most programs,"Typically $200,000 - $2 million per year for 1-2 years for organizations; smaller amounts for individuals",Varies by program,"Anyone eligible (academia, non-profit, industry, independent researchers) from any country","Relevance to global catastrophic risk reduction, innovation, and potential impact",Moderate to Complex - requires strong alignment with global catastrophic risk priorities,https://www.openphilanthropy.org/,Complex
Pfizer Australia Emerging Sciences Fund,Pfizer Australia,Support early breakthrough science and research collaboration,Ongoing - contact Pfizer directly,"Variable - typically $50,000-$200,000",Collaborative partnership required,"Australian research institutions, innovative science focus","Scientific innovation, collaboration potential, patient benefit",Moderate - requires partnership development,https://www.pfizer.com.au/our-science/supporting-australian-scientists,Moderate
Queensland Health and Wellbeing Community Grants 2025,Queensland Government - Health and Wellbeing Queensland (HWQld),Supports community-led initiatives promoting health and wellbeing across Queensland,Opens: 1 July 2025; Closes: 29 July 2025,"$5,000 to $20,000 AUD per project (Total pool: $400,000)",Not specified,"Queensland-based not-for-profit/charitable organisations, incorporated associations, Indigenous Corporations, local government, schools","Community connectedness, health service access, alignment with Queensland Children's Wellbeing Framework",Simple to Moderate,https://hw.qld.gov.au/grants/2025-health-and-wellbeing-community-grants/,Moderate
Ramsay Hospital Research Foundation - Social Determinants of Health Innovation Grant,Ramsay Hospital Research Foundation,"Address social determinants affecting women, regional/rural populations, and people over 60",To be announced,"Up to $700,000 for up to 3 years",Ethics approval required,Australian researchers focusing on social determinants of health,Social determinants focus and population health impact,Complex - requires detailed research proposal and ethics approval,https://www.ramsayhealth.com/,Complex
RACGP Education Research Grants 2026,Royal Australian College of General Practitioners (RACGP),"Fund research on general practice training and education including workforce development, supervision models, digital skills in GP training, Aboriginal and rural medical education, and innovation in GP teaching",8 August 2025 (11:59pm AEST) for invited full applications,"Up to 8 grants of up to AUD $150,000 (ex. GST) each for 12-month projects",No specific co-funding required (RACGP provides full grant),Lead applicants must be General Practitioners (with FRACGP) or training organizations; research teams must include practicing GPs and experienced education researchers. Projects must be Australian-focused,"Competitive peer review scoring proposals on academic rigor, relevance to GP education, and potential outcomes with emphasis on practical impact for GP training","High - two-stage process with EOI and full application, requires alignment with RACGP research priorities",https://www.racgp.org.au/,Complex
Hospital Research Foundation Group - Research Innovation and Impact Grants,RPH Research Foundation (co-funded by FHRI Fund),Support innovative research projects with translation potential,Varies by program,Up to $1.2 million over 3 years,Co-funding from FHRI Fund,Mid-career and senior researchers in WA,"Innovation, translation potential, strategic importance",Complex - requires detailed innovation plan,https://www.rphresearchfoundation.org.au/riig,Complex
SALHN Enquiry Grant Scheme 2025,Southern Adelaide Local Health Network,Support research and innovation projects by SALHN staff,"8 August 2025, 5:00pm",Variable amounts supported by Hospital Research Foundation Group,SALHN organizational support,SALHN staff members,"Benefit to patients, alignment with research strategy",Simple to Moderate - internal staff grants,https://www.sahealth.sa.gov.au/,Moderate
Healthy Tasmania Fund 2025,Tasmanian Department of Health,Support community-led preventative health projects,Applications closed for 2024-25,"$20,000-$100,000 per grant",Organization/community support,Tasmanian community organizations and local councils,"Health promotion, community engagement, preventive focus",Simple to Moderate - community health focus,https://healthytas.smartygrants.com.au,Moderate
Tasmania General Practice Sustainability and Viability Initiative,Tasmanian Department of Health,Support general practice sustainability and innovation,Ongoing (Round 1 completed),"Up to $250,000 per year (single year) or up to $500,000 (multi-year)",Practice contribution expected,RACGP accredited practices in rural/regional Tasmania,"Community benefit, sustainability, innovation",Moderate - requires demonstration of need and impact,https://www.premier.tas.gov.au/,Moderate
Silk Roads Youth Research Grant,UNESCO,Mobilize young researchers (under 35) to undertake further study on the shared heritage of the Silk Roads,Varies by year (2023 call: March 8 - June 14),"USD $10,000 per research project (12 grants available)",Not specified,Postgraduate researchers aged 35 and younger from all countries,"Cultural heritage focus, research innovation, and cross-cultural understanding",Moderate - requires research proposal focusing on cultural interactions,https://en.unesco.org/silkroad/,Moderate
UNESCO Fellowships,"United Nations Educational, Scientific and Cultural Organization (UNESCO)","Provide financial assistance for research and practical training across education, science, culture, and communication",Various deadlines throughout the year,Varies by fellowship (450+ offered annually),Varies by program,"Students, PhD candidates, early-career professionals, and project initiators globally","Alignment with UNESCO priorities, research excellence, and global benefit potential",Moderate - varies by specific fellowship program,https://en.unesco.org/,Moderate
University of Melbourne - Translational Research Grants,University of Melbourne,"Bridge the gap between fundamental research discoveries and their commercialization or real-world impact in fields such as health, engineering, IT, and sciences","Annual, typically March/April","AUD $50,000 - $200,000 for 1-2 years","Not explicitly stated, but leveraging existing university resources is expected","University of Melbourne researchers, often requiring collaboration with industry or clinical partners","Translational potential, market opportunity, intellectual property considerations, and feasibility",Moderate - requires clear pathway to impact and IP considerations,https://research.unimelb.edu.au/funding/internal-grants,Moderate
Victorian Building Authority Research Grant Program,Victorian Building Authority,Built environment safety and compliance research,Next round expected 2025 (Round 3 closed April 2024),"$30,000 - $110,000 (previous rounds)",Not specified,Australian universities,Research relevance to building safety and compliance,Moderate,https://www.vba.vic.gov.au/,Moderate
Victoria Higher Education State Investment Fund (HESIF),Victorian Department of Education and Training,"Support strategic infrastructure and research projects in Victorian universities, aligning with the Victorian Government's priorities for higher education and research","Specific calls, various dates","Significant, multi-year funding (AUD $1M - $20M+)",Significant mandatory co-contribution from the applicant university,Victorian universities,"Strategic alignment with state priorities, scale and impact of project, financial viability, and governance",Very Complex - large scale funding with significant co-contribution requirements,https://www.education.vic.gov.au/about/programs/pages/hesif.aspx,Complex
Mental Health and Wellbeing Workforce Scholarship Program (Victoria),Victorian Department of Health,Support mental health workforce development and upskilling,Open for 2025 course enrolment,Variable amounts for course fees and professional development,Career development commitment,"Mental health nurses, allied health professionals, AOD practitioners, lived experience workers (1,200+ workers benefiting, 17% workforce growth 2021-2023)",Career development potential and mental health focus,Moderate - requires career development plan,https://www.health.vic.gov.au/,Moderate
Victorian GP Training Grants,Victorian Department of Health,Incentivize medical graduates to pursue GP training,Ongoing (400 additional grants available in 2025),"Up to $40,000",None specified,Medical graduates enrolled in Victorian GP training programs (preference for Australian graduates and rural trainees),Training program enrollment and regional preference,Simple - application through RACGP or ACRRM after training acceptance (59% of recipients training in regional Victoria),https://www.health.vic.gov.au/,Low
Victorian Investment Fund - Health Technology Stream,"Victorian Department of Jobs, Skills, Industry and Regions",Support health and digital technology commercialization,Ongoing applications,"Variable, part of $35 million available in 2024-25",Required,"Victorian companies, focus on commercialization","Commercial potential, innovation, job creation",Complex - requires detailed business case,https://djsir.vic.gov.au/,Complex
Victorian Medical Research Acceleration Fund Round 8 (Anticipated),"Victorian Department of Jobs, Skills, Industry and Regions",Accelerate health and medical research translation,To be announced,"Tier 1: up to $100,000; Tier 2: up to $500,000",Typically required,Victorian research institutions,"Translation potential, innovation, collaboration",Moderate - requires clear translation pathway,https://djsir.vic.gov.au/medical-research/sector-support/Victorian-Medical-Research-Acceleration-Fund,Moderate
Victorian Medical Research Acceleration Fund 2025,"Victorian Government - Department of Jobs, Skills, Industry and Regions (DJSIR)",Accelerates health and medical research and fast-tracks innovative projects from research to real-world impact,Round 8 expected 2025 (Round 7 closed late 2024),"Tier 1: Up to $100,000; Tier 2: Up to $500,000",Not specified,Victorian research institutions and industry partners; translational potential required,"Feasibility, innovation, health system impact",Moderate,https://djsir.vic.gov.au/medical-research/sector-support/Victorian-Medical-Research-Acceleration-Fund,Moderate
Victoria Women's Health Research Catalyst Grants 2025,Victorian Government - Invest Victoria,Provides seed funding to support innovative research into women's health in historically underfunded areas,2025 round completed; next round expected 2026,"$15,000 to $150,000 AUD per project",Not specified,"Victorian researchers conducting health/medical research in discovery, pre-clinical, clinical, or lived experience domains","Innovation, contribution to new models of care, women's health focus",Moderate,https://www.invest.vic.gov.au/news-and-events/news/2025/july/victoria-backs-innovative-womens-health-research-with-new-r-and-d-grants,Moderate
WA Future Health Research and Innovation Fund - Multiple Programs,WA Department of Health / Office of Medical Research and Innovation,Support health and medical research infrastructure and innovation,Various programs throughout 2025,Up to $35 million available in 2025,Typically required,"WA research institutions, hospitals, companies","Strategic alignment, innovation, capacity building",Complex - varies by program stream,https://www.wa.gov.au/government/media-statements,Complex
Western Australia -- Early/Mid-Career Preventive Health Fellowships,WA Future Health Research & Innovation Fund and The Hospital Research Foundation,"3-year fellowships for WA researchers to develop preventive-health interventions for priority populations (Aboriginal, rural, CALD, etc.)",2 July 2025 (closed),Up to 5 fellowships at $400k maximum each covering salary and research costs,Grants cover full costs,Western Australian institutions; early/mid-career (emerging leaders) researchers,"Competitive selection (peer review, emphasis on equity impact)",High - full fellowship proposal required,https://fhrifund.health.wa.gov.au/,Complex
Wellcome Trust Global Health Initiatives,Wellcome Trust,Support global health research addressing health inequities,"Various schemes with rolling deadlines; September 30, 2025","£50,000-£2 million (varies by scheme) for up to 5 years",Varies by program,"UK, Ireland, and low/middle-income countries (excluding India/China); Early Career Awards for early-career researchers","Scientific excellence, global health impact, innovation",Complex - international competition,https://wellcome.org/research-funding/schemes/wellcome-early-career-awards,Complex
WA Future Health Research and Innovation Fund (FHRI) 2025,Western Australian Government - Department of Health,"Provides secure, long-term funding for health and medical research, innovation, and commercialisation across WA",Multiple streams with rolling applications; Spotlight Program announced annually,$40-50 million AUD annually across multiple programs; flagship 5-year commitments under Spotlight Program,Varies by stream,"WA-based researchers, health services, universities, and industry partners","Strategic themes: Connect/Collaborate, Accelerate/Translate, Foundational Confidence",Variable (Moderate to Complex),https://fhrifund.health.wa.gov.au/,Complex
CSIRO ON Accelerate (Cohort 10),CSIRO,3-month commercialisation acceleration program for entrepreneurial researchers ready to translate research into a company,Applications close: 7 September 2025,"$20,000 per team (to TTOs); Up to $400,000 distributed to high-performing teams (max $80,000 per team); Total program value $150,000+",None required - program is free,Teams of 3-6 members; All Australian-based; Must include researcher from Australian university/PFRO or PhD student/recent grad; Minimum 1 FTE commitment; Must be registered company for VC readiness,Solution/value proposition; Evidence of problem; Target market identification; Team skillsets; Commercial traction; Alignment with objectives; Evidence startup is appropriate pathway,"High - Multi-stage process including online application, 2-day bootcamp, immersion week, 3-month program",https://www.csiro.au/en/work-with-us/funding-programs/Innovation-programs/ON-Accelerate,Complex
CSIRO ON Prime (Cohort 18),CSIRO,9-week program for research teams to develop understanding of potential beneficiaries through customer discovery,Applications typically open Jan/Feb and June/July each year (Currently closed),"Up to $5,000 per team",None required - program is free,Teams of 2-5 people; One member must be researcher at Australian university/PFRO; All Australian-based; 1 day/week commitment for 9 weeks,Solution/value proposition; Problem addressed; Identified end-users/customers,Medium - Online application with evaluation process,https://www.csiro.au/en/work-with-us/funding-programs/Innovation-programs/ON-Prime,Moderate
